Maze File,Algorithm,Heuristic,Time Taken (s),States Explored,Path Cost
maze1.txt,bfs,N/A,0.004276,180,63
maze1.txt,dfs,N/A,0.001053,82,81
maze1.txt,uniform,N/A,0.001994,180,63
maze1.txt,bidirectional,N/A,0.001198,129,63
maze1.txt,a*,manhattan,0.001845,157,63
maze1.txt,a*,euclidean,0.002293,160,63
maze1.txt,a*,chebyshev,0.001691,160,63
maze1.txt,greedy,manhattan,0.001359,122,63
maze1.txt,greedy,euclidean,0.001260,116,63
maze1.txt,greedy,chebyshev,0.001737,126,63
maze2.txt,bfs,N/A,0.001602,206,80
maze2.txt,dfs,N/A,0.001344,99,98
maze2.txt,uniform,N/A,0.001967,206,80
maze2.txt,bidirectional,N/A,0.000801,129,80
maze2.txt,a*,manhattan,0.002394,206,80
maze2.txt,a*,euclidean,0.002433,206,80
maze2.txt,a*,chebyshev,0.001876,206,80
maze2.txt,greedy,manhattan,0.002065,172,98
maze2.txt,greedy,euclidean,0.002244,198,98
maze2.txt,greedy,chebyshev,0.002341,205,98
maze3.txt,bfs,N/A,0.000699,77,30
maze3.txt,dfs,N/A,0.000576,45,44
maze3.txt,uniform,N/A,0.000743,77,30
maze3.txt,bidirectional,N/A,0.000564,63,30
maze3.txt,a*,manhattan,0.000641,59,30
maze3.txt,a*,euclidean,0.000835,60,30
maze3.txt,a*,chebyshev,0.000919,64,30
maze3.txt,greedy,manhattan,0.000582,54,30
maze3.txt,greedy,euclidean,0.001376,53,30
maze3.txt,greedy,chebyshev,0.000774,58,30
